sex,cabin,CabinReduce,sex_map,cabin_map,CabinReduce_map
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,E36,E,1,169,6
female,0,n,1,0,8
male,C68,C,0,84,3
male,E24,E,0,27,6
male,0,n,0,0,8
female,0,n,1,0,8
female,C22 C26,C,1,125,3
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,D38,D,0,88,1
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,B50,B,0,46,5
male,A24,A,0,82,0
male,0,n,0,0,8
male,0,n,0,0,8
male,C111,C,0,90,3
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,F,F,0,130,2
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,C6,C,0,28,3
male,C87,C,0,173,3
female,E8,E,1,138,6
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,B45,B,1,180,5
male,0,n,0,0,8
male,0,n,0,0,8
male,C93,C,0,80,3
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,D28,D,1,116,1
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,D36,D,1,63,1
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,C125,C,1,74,3
male,C6,C,0,28,3
female,B35,B,1,70,5
male,T,T,0,143,4
female,0,n,1,0,8
female,0,n,1,0,8
female,B73,B,1,162,5
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,B57 B59 B63 B66,B,1,10,5
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,A26,A,0,99,0
male,0,n,0,0,8
male,0,n,0,0,8
male,A18,A,0,111,0
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,B96 B98,B,0,139,5
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,G6,G,1,36,7
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,C78,C,0,154,3
female,C101,C,1,123,3
female,D9,D,1,49,1
male,0,n,0,0,8
male,0,n,0,0,8
male,D33,D,0,65,1
male,C128,C,0,140,3
male,0,n,0,0,8
male,0,n,0,0,8
female,E50,E,1,33,6
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,B26,B,1,47,5
male,B69,B,0,103,5
male,0,n,0,0,8
female,E121,E,1,106,6
male,0,n,0,0,8
female,C123,C,1,129,3
male,0,n,0,0,8
male,0,n,0,0,8
male,B94,B,0,98,5
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,A34,A,1,136,0
male,0,n,0,0,8
male,D,D,0,23,1
male,E50,E,0,33,6
male,0,n,0,0,8
male,C39,C,0,122,3
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,D43,D,0,45,1
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,E31,E,0,58,6
female,B5,B,1,32,5
male,0,n,0,0,8
female,D17,D,1,94,1
male,0,n,0,0,8
female,F33,F,1,109,2
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,E44,E,0,126,6
female,D7,D,1,153,1
male,0,n,0,0,8
male,A21,A,0,100,0
male,0,n,0,0,8
female,0,n,1,0,8
male,D34,D,0,29,1
female,0,n,1,0,8
female,A29,A,1,147,0
male,0,n,0,0,8
female,F33,F,1,109,2
female,0,n,1,0,8
male,D35,D,0,66,1
female,A11,A,1,64,0
female,B51 B53 B55,B,1,69,5
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,D46,D,0,20,1
male,E60,E,0,149,6
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,G6,G,1,36,7
male,C30,C,0,174,3
female,0,n,1,0,8
male,D26,D,0,163,1
male,0,n,0,0,8
male,0,n,0,0,8
female,E68,E,1,67,6
male,0,n,0,0,8
female,C93,C,1,80,3
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,B35,B,1,70,5
male,0,n,0,0,8
male,0,n,0,0,8
male,A9,A,0,83,0
female,B71,B,1,101,5
male,0,n,0,0,8
female,F33,F,1,109,2
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,D37,D,1,115,1
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,C101,C,1,123,3
female,C78,C,1,154,3
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,F2,F,0,170,2
male,C55 C57,C,0,144,3
male,0,n,0,0,8
male,C89,C,0,11,3
male,0,n,0,0,8
male,C124,C,0,171,3
female,G6,G,1,36,7
female,0,n,1,0,8
male,0,n,0,0,8
female,C23 C25 C27,C,1,151,3
female,C126,C,1,6,3
female,E49,E,1,37,6
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,F E46,F,0,105,2
male,0,n,0,0,8
male,0,n,0,0,8
female,D17,D,1,94,1
male,0,n,0,0,8
male,0,n,0,0,8
male,E46,E,0,2,6
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,D19,D,0,5,1
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,B58 B60,B,1,164,5
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,C82,C,0,148,3
female,0,n,1,0,8
male,0,n,0,0,8
male,B52 B54 B56,B,0,102,5
male,0,n,0,0,8
male,0,n,0,0,8
male,C92,C,0,152,3
male,0,n,0,0,8
male,0,n,0,0,8
female,E45,E,1,131,6
male,F G73,F,0,133,2
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,C65,C,1,9,3
male,0,n,0,0,8
female,D35,D,1,66,1
female,0,n,1,0,8
male,0,n,0,0,8
female,B57 B59 B63 B66,B,1,10,5
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,E25,E,0,156,6
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,B3,B,1,177,5
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,D40,D,0,95,1
male,0,n,0,0,8
female,B69,B,1,103,5
female,0,n,1,0,8
female,0,n,1,0,8
male,C91,C,0,18,3
male,B102,B,0,165,5
female,0,n,1,0,8
female,B61,B,1,112,5
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,F G63,F,0,146,2
male,0,n,0,0,8
male,0,n,0,0,8
female,D19,D,1,5,1
female,0,n,1,0,8
female,0,n,1,0,8
male,A20,A,0,172,0
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,C23 C25 C27,C,0,151,3
female,0,n,1,0,8
female,B36,B,1,1,5
male,0,n,0,0,8
male,0,n,0,0,8
female,C7,C,1,107,3
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,B77,B,1,158,5
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,D20,D,1,114,1
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,B51 B53 B55,B,0,69,5
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,C148,C,0,185,3
male,0,n,0,0,8
male,0,n,0,0,8
female,C105,C,1,118,3
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,E38,E,0,68,6
female,0,n,1,0,8
male,0,n,0,0,8
male,F2,F,0,170,2
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,B86,B,0,121,5
female,0,n,1,0,8
male,C132,C,0,108,3
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,D20,D,1,114,1
male,C86,C,0,176,3
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,A14,A,0,61,0
male,B71,B,0,101,5
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,B5,B,1,32,5
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,C54,C,1,79,3
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,D36,D,1,63,1
male,0,n,0,0,8
male,A5,A,0,81,0
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,B49,B,0,86,5
male,0,n,0,0,8
female,B28,B,1,4,5
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,C22 C26,C,0,125,3
female,C92,C,1,152,3
male,0,n,0,0,8
female,0,n,1,0,8
male,C126,C,0,6,3
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,C65,C,0,9,3
female,0,n,1,0,8
male,B24,B,0,124,5
male,C2,C,0,75,3
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,F4,F,0,186,2
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,A6,A,0,19,0
male,0,n,0,0,8
female,E31,E,1,58,6
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,C23 C25 C27,C,1,151,3
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,C123,C,0,129,3
male,0,n,0,0,8
male,0,n,0,0,8
male,C83,C,0,160,3
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,B42,B,1,137,5
female,0,n,1,0,8
male,A36,A,0,44,0
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,C52,C,0,135,3
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,C54,C,1,79,3
male,0,n,0,0,8
female,0,n,1,0,8
male,D56,D,0,87,1
male,0,n,0,0,8
female,0,n,1,0,8
female,C22 C26,C,1,125,3
male,C116,C,0,92,3
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,B96 B98,B,0,139,5
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,B19,B,0,85,5
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,E77,E,1,13,6
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,E121,E,0,106,6
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,F G63,F,0,146,2
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,F E57,F,0,8,2
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,E101,E,1,52,6
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,C116,C,1,92,3
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,E101,E,1,52,6
male,0,n,0,0,8
female,B18,B,1,48,5
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,C95,C,0,30,3
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,A34,A,0,136,0
male,0,n,0,0,8
male,0,n,0,0,8
female,D15,D,1,38,1
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,E33,E,1,178,6
male,F2,F,0,170,2
male,0,n,0,0,8
female,F4,F,1,186,2
male,B30,B,0,128,5
female,D33,D,1,65,1
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,D21,D,1,15,1
male,0,n,0,0,8
female,B28,B,1,4,5
male,E10,E,0,25,6
male,0,n,0,0,8
female,C130,C,1,157,3
male,D6,D,0,183,1
male,C51,C,0,150,3
male,0,n,0,0,8
male,D30,D,0,145,1
male,E67,E,0,168,6
female,E33,E,1,178,6
male,0,n,0,0,8
male,C110,C,0,24,3
male,0,n,0,0,8
female,C103,C,1,39,3
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,F4,F,1,186,2
male,0,n,0,0,8
female,C90,C,1,96,3
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,C118,C,0,110,3
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,B77,B,1,158,5
female,C97,C,1,16,3
female,D47,D,1,104,1
male,0,n,0,0,8
female,0,n,1,0,8
female,C23 C25 C27,C,1,151,3
male,0,n,0,0,8
male,0,n,0,0,8
female,C78,C,1,154,3
male,E34,E,0,41,6
female,B4,B,1,127,5
female,0,n,1,0,8
male,0,n,0,0,8
male,D50,D,0,161,1
female,E101,E,1,52,6
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,C83,C,1,160,3
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,C125,C,1,74,3
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,C68,C,1,84,3
male,A34,A,0,136,0
female,G6,G,1,36,7
male,0,n,0,0,8
female,C55 C57,C,1,144,3
male,0,n,0,0,8
male,0,n,0,0,8
female,E34,E,1,41,6
female,0,n,1,0,8
male,0,n,0,0,8
female,C7,C,1,107,3
male,0,n,0,0,8
male,D26,D,0,163,1
male,0,n,0,0,8
female,C62 C64,C,1,179,3
female,0,n,1,0,8
female,0,n,1,0,8
male,E17,E,0,62,6
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,C78,C,0,154,3
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,B41,B,0,40,5
male,0,n,0,0,8
male,0,n,0,0,8
female,C86,C,1,176,3
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,E46,E,0,2,6
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,C49,C,1,132,3
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,C85,C,0,134,3
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,B20,B,0,17,5
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,E67,E,1,168,6
female,B96 B98,B,1,139,5
female,C28,C,1,159,3
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,E34,E,0,41,6
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,E63,E,0,142,6
male,0,n,0,0,8
female,C99,C,1,31,3
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,D49,D,0,59,1
male,A10,A,0,182,0
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,A16,A,1,22,0
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,C23 C25 C27,C,0,151,3
male,0,n,0,0,8
female,C89,C,1,11,3
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,B37,B,0,175,5
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,C80,C,1,93,3
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,B78,B,1,76,5
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
